number,contents
142608,  따르 아 채무 변제 저   하   있 것   만큼 저   타인 채무 변제 하  다는 의사 가지 고 있 었 다면 채무 변제 라는 지정 있 었 보   있 다   
76856,소유권 이전 청구권 보전 을 위하   가등 기가 경 료 되 면 보   등기 소유권 이전 등기 경 료 받 대항 하   없 다   
195152,계약 보증 이란 수급인 공사 도급 계약상 부담 하 모든 채무 이행 을 보증 하 것 보증 책임 특별 하   사정 없 수급 인의 원상 회복 의무 미치  다   
203372,저   저   항 부동산 존재 하   저당권 매각 의하 여 소멸 하  다고 규정 하   담보물 권 원래 부동산 교환 가치 부터 변제 받 것 을 목적 하 권리 다   
106490,징발 재산 정리   특별 조치법   말하 환매 법적 성질 매도인 매매 계약 동시 환매 하   권리 보류 하   것 을 하 환매 같 게 보   없 다   
69549,부칙   저   항 의하 어 설립 금지 되 복수 노조 초 기업 적   산업별   직종별   지역별 단위 노동조합 지부 분회 설립 되 어 있 만 한정 되  다   
200712,근로 자가 회사 정식 기사 취업 하 기 위하 어 구비 서류 제출 하 고 회사 단체 협약 취업 규칙 정하   수습 기간 내의 기간 중 일당제 대무 운전기사 근무 하 어 오   것 라면 근로자 회사 사이 근로 관계 반복 적 발생 하   것 라고 하   없 다   
196077,건설 회사 지방 자치 단체 체결 하   공사 도급 계약 약정 하   하자 보수 보증금 수급인 하자 보수 책임 이행 을 간접적 강제 하 고 동 금원 을 지방 자치 단체 소유 귀속 시키 기로 하 위약벌 내지 제재 금 하  다   
191467,도급인 건물 을 완공 하 였 음에도 공사 잔 대금 을 지급 받 지 못하 공사 잔 대금 조로 공사 관련 채무 인수 하 고 부동산 소유권 을 양도 받 기 약정 하  다   
110740,노동 위원 회의 구제 명령 이나 무효 확인 을 기다리   것 없이 스스로 징계 처분 을 취소 하   있 고 적법 하   징계 처분 을 하 것 가능 하 다   
74318,소외 인의 임대인   보관 의무 위반 임차인 자신 귀책 사유 말미암 임대차 계약 위반 보 아야 하 고 임대인 상당 하   기간 안 임차 목적물   압류 해제 되 지 않 임대차 계약 해지 하   있 다   
75912,군정 법령   호 저   의하 어 소유권 일 응 조선 군정청 귀속 되 었 고 미간 체결 되   재산   최초 협정 의하 어 대한민국 정부 이양 되 었 다   
208233,금전 소비 대차 계약 있 어서 약정 이율 여 계약 체결 당시 이자 제한   법령 의하   것 다   
147499,같 부동산 대한 같 매매 원인 소유권 이전 등기 사건 이나 전소 원고 배척 되   것 고 소 감액 을 주장 하 었 더   대금 을 변제 공탁 하   하   것 다   
73518,적법 하   선임 절차 밟 지 아니하 였 으나 대표 이사 등기 하   자가 주주 부터 아무런 이의 받 지 않 고 대표 이사 권한 을 행사 하 어 오 았 다면 표현 대표 이사 지위 있 었 보   있 다   
159788,제약 회사 제조   공급 하   혈액 제제 의하 여 혈우병 환자 후천 성면 역 결핍증 감염 되   것  지 사 실적 인과 관계 존부   문제 다   
186653,이집트 각주   일 라는 기획 여행 상품   계약 을 체결 하 고 이집트 각지 여행 하 려 덜     회사 상대 손해 배상 을 구하     회사   등 여행지 변경 가능성   정보 제대로 제공 하 지 않 았 다   
152015,원래 권리 자로 부터 경작권 을 전전 양도 받 아 경작 하 고 있 피 신청인   출입금 지가 처분 허용 되 지 않 다   
84601,저작권법   저   항 등기 등록 하 지 않 으면 신탁 재산 임 을 주장 하   없 다는 불과 하 며 저작권법   따르   저작 재산권 양도 등록 저     대항 불과   
119555,채권   강제 집행 진실 하   채권자 라고 주장 하 여 채권 귀속 을 다투 저   이의 소 하   원고 적격 없 다   
147465,보험 계약자 피 보험자 고의 의하   손해 보험 계약자 등 고의 의하   손해 하 지 않 아 면책 약관 적용 되 지 않 다   
207482,권리 확정 주의 말하 확정 개념 을 소득 귀속 시기   예외 없 일반 원칙 단정 하 어서 안 되  다   
119025,은행원 통장 비밀 번호 누설 되   사실 을 은행 신고 하 지 않 았 고 통장 을 절취 당하   사실 을 은행 신고 하 지 않 잘못 있 다 하 더라도 예금 계약 기한 예금 반환 사건 있 어서 과실 상계 하   여지 없 다   
75426,밀   쌀 하역 작업 작업 감독 작업 지시 하   있 어 작업원 작업중 무너지   위험 있 포대 부터 차례 풀 어 도록 작업 을 교 시해 주  다   
106731,사용자 자기 직원 근무 하 다가 사망 하   근로자 퇴직금 여 동인   대출금 채권 상계 충당 하   있 다   
211823,주주 평등 원칙 을 위반 하 여 회사 일부 주주 만 우월 하   권리 나 이익 을 부여 하 기로 하 약정 특별 하   사정 없 무효 다   
81374,상해 보험 피 보험 자가 보험 기간 중 우연 하   외래 사고 신체 손상 을 입 것 을 보험 사고 하 인보험 다   
119732,기존 어업 계약 당사자 로서 지위 대의 원회 결의 무효 확인 을 구하   원고 적격 없 다   
198367,집합 건물 소유 관리   법률   소정 재 건축 결의 있 재 건축 참가 하 지 않 여 매도 권이 행사 되 면 재 건축 참가 하 지 않 자의 구분 소유권 대지 사용권 여 매매 계약 성립 되  다   
82513,    금전 소비 대차 계약 을 체결 하   있 어서   을 대리 하   권한 있 었 믿 데 상당 하   이유 있 었 보 아   표현 대리 성립 을 하   다   
75168,실제 기대 수익 상당 하 금   원 을 주 겠 하   원고 인감 증명 등 관계 서류 교부 하 보상금 을 지급 하  다는 면책 합의 서가 작성 되 었 다면 불공정 하   법률 행위 하  다   
184377,사회적 지위 향상 을 위하 어 노동조합 사용자 체결 하   단체 협약 근로자 경제적   사회적 지위 향상 을 위하 어 체결 하 것 므로 근로자 불리 하 게 해석 하 어서 안 되  다   
212357,특허법   저   항 의하 면 발명 자인 종업원 특허권 을 승계 시키   뿐 만 아니 라 특허 받 을 있 권리 승계 시키   정 당하   보상 을 하   있 다   
81459,국가 수급자 사이 차액 보증금   약정 불공정 거래 행위 하 기 위하 어서 사업자 자기 거래상 지위 우월 하   을 이용 하 어야 하  다   
75748,다방 마담 통상   세 끝나   까지 종사 하   있 으며 모와 성명 미상 남자 사이 출생 하   혼인 외의 특단 사정 없 호적 상의 부 친자 관계 있 을 없 다   
114942,귀속 재산법 소정 귀속 재산   점유 권원 성질 타 아 주점 유 하  다고 보 아야 하  다   
114988,지게차 운전자 다르   각재 다발 을 적재 하 기 위하 어 작업 을 하 더   중 일어나   사고 지게차 운행 인하 어 발생 하 었 봄 상당 하 다   
72015,채권   압류 전부 명령 전부 명령 송달 되   당시 현 실적 존재 하 채권 어서 말   효력 을 미치 것 고 전부 하 금액 일부 목적 채권 부 존재 사유 효력 을 발생 하   없 을 강제 집행 집행 불능 종료 되 었 다   
156228,등기 협동 신청 을 재정 하   법률 지시 추   하 여야 하   대리인 등기 사무 위임 받 동법 서 사 아 자신 을 말하 고 사무원 을 포함 하  다고 하   없 다   
95767,      이전 국내 설립 되   내국 회사 라면 주식 만이 국가 귀속 되 고 재산 귀속 되 지 않 다   
83546,증권 등 을 증 서의 소지인 자기 의사 기하 지 않 고 증권 등 을 특정인 소지 하 고 있음 판명 되   소지인 현 소지인 어 반환 을 하 어야 하 고 이에 대 하   공시 최고 허용 되 지 않 다   
200992,축산업 협동조합 양계업 을 영위 하 조합원 사료 판매 하   행위 조합원 구매 사업 하나 하  다고 하 더라도 외상 대금 채권 상사 채권 다   
